student_id,attendance,previous_marks,study_hours,assignment_score,internal_marks,completed_assignments,class_participation,extracurricular_activity,final_marks,performance_category
STD1001,82.2,69.8,3.2,62.2,64.0,5,8,Yes,68.8,Average
STD1002,74.3,62.0,4.8,56.5,59.5,5,8,Yes,60.5,Average
STD1003,84.1,69.7,3.5,84.3,57.8,7,9,No,69.0,Average
STD1004,95.0,75.6,4.0,75.2,64.2,7,8,No,72.9,Average
STD1005,73.1,68.7,7.5,71.1,71.0,7,7,No,64.7,Average
STD1006,73.1,68.6,6.9,59.2,59.1,7,9,No,64.7,Average
STD1007,95.7,58.2,2.2,60.0,47.8,6,9,No,48.9,Low
STD1008,85.6,58.7,6.0,71.4,67.9,6,10,No,68.5,Average
STD1009,70.1,48.4,6.0,43.1,61.7,5,6,No,56.2,Average
STD1010,82.8,92.5,2.4,77.9,71.2,7,9,Yes,80.8,High
STD1011,70.2,50.6,6.0,54.7,61.1,5,10,Yes,57.8,Average
STD1012,70.2,58.3,7.3,59.5,53.0,6,8,No,60.2,Average
STD1013,79.0,57.9,2.5,59.7,56.8,6,6,Yes,65.7,Average
STD1014,52.1,80.5,2.8,68.8,62.0,8,5,No,69.4,Average
STD1015,54.4,63.9,6.3,62.6,67.5,7,7,Yes,64.1,Average
STD1016,69.0,85.5,5.0,78.8,75.0,7,8,Yes,77.0,High
STD1017,63.3,58.6,5.5,49.6,66.3,7,6,Yes,65.2,Average
STD1018,79.9,71.9,5.1,66.8,62.3,7,10,Yes,63.2,Average
STD1019,64.6,56.3,5.2,65.0,63.4,6,6,No,57.8,Average
STD1020,58.3,98.0,2.1,84.0,75.2,9,3,No,80.1,High
STD1021,94.3,51.4,6.4,51.4,56.3,5,10,Yes,65.7,Average
STD1022,73.2,72.3,6.6,69.9,70.9,7,6,Yes,72.9,Average
STD1023,76.8,76.9,4.1,56.0,60.4,8,8,Yes,60.9,Average
STD1024,58.2,73.8,4.4,64.2,66.3,6,10,Yes,66.4,Average
STD1025,69.2,65.4,1.7,76.6,57.8,7,6,No,58.6,Average
STD1026,77.4,66.2,5.4,58.0,65.2,6,7,Yes,67.1,Average
STD1027,61.6,68.6,5.5,55.7,65.2,7,7,No,58.4,Average
STD1028,80.7,65.9,4.4,71.6,68.6,6,8,Yes,64.6,Average
STD1029,68.5,81.5,6.5,59.4,79.8,4,8,Yes,64.0,Average
STD1030,72.4,98.9,3.9,76.9,73.9,7,8,Yes,84.4,High
STD1031,68.5,60.2,5.5,63.8,67.3,5,6,Yes,62.1,Average
STD1032,99.2,48.8,2.7,56.9,41.1,5,10,No,54.5,Average
STD1033,75.8,66.8,4.5,63.2,66.2,7,8,No,64.3,Average
STD1034,62.8,99.0,4.2,84.6,86.2,8,7,No,75.7,High
STD1035,86.3,56.7,4.9,65.5,47.8,5,8,Yes,55.7,Average
STD1036,60.7,90.9,3.8,76.0,76.4,8,8,Yes,72.0,Average
STD1037,78.6,91.5,4.3,76.8,74.5,9,8,Yes,76.2,High
STD1038,51.5,60.2,6.0,57.3,57.4,4,7,No,57.1,Average
STD1039,59.4,76.0,3.7,64.5,73.9,7,5,Yes,64.6,Average
STD1040,78.5,90.8,1.6,82.3,67.8,9,6,No,81.0,High
STD1041,85.2,62.7,7.6,61.6,63.2,7,10,Yes,73.0,Average
STD1042,78.1,65.1,7.0,63.3,68.5,8,8,Yes,72.8,Average
STD1043,74.6,59.9,2.2,53.4,55.9,8,6,Yes,58.3,Average
STD1044,72.2,53.8,5.7,56.5,57.1,5,7,Yes,65.5,Average
STD1045,57.5,58.9,3.6,49.4,61.0,5,7,No,53.3,Average
STD1046,67.0,50.9,5.0,45.4,55.6,4,6,Yes,53.9,Average
STD1047,70.2,68.5,5.0,66.3,52.5,7,7,No,62.1,Average
STD1048,89.2,57.2,4.1,65.0,54.2,8,9,Yes,66.8,Average
STD1049,80.3,71.3,3.1,74.6,60.6,6,5,No,67.5,Average
STD1050,54.0,46.2,3.3,44.3,48.7,4,4,Yes,45.4,Low
STD1051,80.1,72.6,2.9,72.4,47.9,9,8,No,61.3,Average
STD1052,71.2,79.7,3.0,74.9,83.3,9,6,No,75.5,High
STD1053,67.5,40.1,4.4,51.3,50.0,5,8,No,51.8,Average
STD1054,83.6,73.2,3.2,64.5,64.1,7,9,Yes,67.2,Average
STD1055,88.9,85.2,5.7,79.9,85.4,8,10,No,74.0,Average
STD1056,87.6,51.1,7.2,62.4,75.3,8,10,Yes,68.0,Average
STD1057,65.5,91.4,3.5,75.7,80.4,8,7,Yes,80.0,High
STD1058,72.1,73.9,4.9,52.2,70.9,6,8,Yes,74.9,Average
STD1059,80.1,58.1,5.4,62.6,61.3,9,8,Yes,60.1,Average
STD1060,88.2,67.2,5.3,85.3,68.7,9,10,No,70.8,Average
STD1061,70.0,75.8,4.6,65.6,65.3,7,10,Yes,67.7,Average
STD1062,73.7,69.1,5.8,60.2,61.6,7,8,No,69.7,Average
STD1063,62.2,75.5,5.4,68.8,66.3,7,7,No,66.1,Average
STD1064,61.0,55.1,2.3,56.7,42.3,8,7,No,46.9,Low
STD1065,86.2,70.4,6.1,78.8,71.0,8,9,No,74.8,Average
STD1066,93.0,48.2,6.1,50.1,44.7,5,9,Yes,55.4,Average
STD1067,75.1,66.4,3.1,70.1,61.9,6,8,Yes,60.4,Average
STD1068,88.5,55.3,4.6,66.7,57.8,8,9,Yes,61.0,Average
STD1069,80.5,57.7,5.7,60.2,61.5,7,9,No,69.2,Average
STD1070,67.9,85.3,4.1,75.5,70.5,7,6,No,72.6,Average
STD1071,80.5,83.3,6.4,83.1,98.1,9,7,No,83.2,High
STD1072,95.2,76.5,8.8,82.3,89.9,7,10,Yes,83.8,High
STD1073,75.6,52.7,3.1,48.6,42.0,5,8,Yes,53.9,Average
STD1074,95.6,63.6,2.0,74.9,59.0,8,8,Yes,69.0,Average
STD1075,43.3,85.0,5.0,65.4,70.0,8,7,Yes,70.5,Average
STD1076,86.3,70.0,5.8,70.2,62.9,6,8,Yes,70.6,Average
STD1077,77.1,99.0,4.1,83.6,74.0,7,7,No,82.2,High
STD1078,72.3,73.5,7.1,66.5,75.7,6,8,Yes,72.6,Average
STD1079,77.1,70.7,2.1,76.4,57.6,6,7,Yes,62.1,Average
STD1080,51.2,63.7,5.7,55.7,68.6,7,7,No,57.3,Average
STD1081,73.3,69.9,3.4,57.5,66.6,7,6,No,54.4,Average
STD1082,80.5,65.9,7.6,62.8,78.0,7,10,Yes,81.1,High
STD1083,94.5,77.9,8.1,77.6,74.8,9,10,Yes,84.6,High
STD1084,69.5,81.4,3.1,80.5,73.1,8,7,Yes,70.6,Average
STD1085,65.9,57.0,3.5,61.3,59.0,6,8,Yes,58.4,Average
STD1086,69.7,49.4,6.0,47.3,51.8,4,7,No,49.2,Low
STD1087,87.4,42.3,3.8,73.4,46.3,7,10,Yes,65.2,Average
STD1088,80.1,75.1,4.4,72.7,78.4,6,9,No,65.7,Average
STD1089,69.4,52.6,4.5,64.9,57.5,7,8,No,58.2,Average
STD1090,82.4,37.9,1.0,49.8,41.2,5,7,No,44.9,Low
STD1091,77.2,73.4,4.5,73.0,63.1,8,4,Yes,72.8,Average
STD1092,88.1,99.0,3.3,92.4,74.5,9,8,Yes,84.4,High
STD1093,67.2,67.9,3.6,72.3,59.7,7,6,No,55.1,Average
STD1094,71.9,79.7,7.1,78.9,77.9,7,7,Yes,76.1,High
STD1095,71.1,69.1,2.2,71.5,53.9,7,7,Yes,59.5,Average
STD1096,57.7,66.6,6.0,57.4,65.0,6,6,Yes,63.4,Average
STD1097,79.7,80.9,4.0,69.5,59.8,6,7,Yes,76.0,High
STD1098,79.3,63.9,4.0,66.9,54.2,7,7,No,53.9,Average
STD1099,76.1,71.7,5.9,74.8,75.1,8,7,Yes,70.3,Average
STD1100,73.1,72.5,5.1,65.7,71.3,6,9,Yes,67.7,Average
STD1101,58.3,58.6,5.5,63.6,59.0,6,6,Yes,58.7,Average
STD1102,70.7,81.9,6.2,82.7,72.4,9,7,No,77.7,High
STD1103,71.7,65.6,3.9,56.3,53.2,4,7,No,56.5,Average
STD1104,66.0,57.4,3.4,50.8,50.8,5,7,No,54.4,Average
STD1105,74.0,75.5,2.5,68.2,67.4,6,8,Yes,65.9,Average
STD1106,81.1,55.4,3.0,62.5,59.0,7,4,Yes,61.6,Average
STD1107,99.6,68.4,9.8,68.6,74.5,9,10,Yes,81.7,High
STD1108,78.2,67.9,6.7,76.4,64.5,7,10,Yes,68.4,Average
STD1109,79.2,83.2,2.1,78.1,69.8,8,6,No,74.5,Average
STD1110,75.1,74.6,2.1,69.4,57.3,6,6,No,63.2,Average
STD1111,52.0,67.6,5.4,48.0,59.2,6,6,Yes,63.5,Average
STD1112,75.7,79.4,5.5,62.0,79.2,5,7,No,69.6,Average
STD1113,76.8,87.5,5.5,78.7,83.6,8,8,Yes,82.4,High
STD1114,100.0,75.8,4.0,60.7,66.7,5,7,No,68.4,Average
STD1115,73.6,68.1,4.3,72.7,57.2,7,6,Yes,65.4,Average
STD1116,79.8,49.6,5.1,55.4,55.4,5,10,No,57.3,Average
STD1117,75.6,53.1,4.7,81.7,66.4,9,7,Yes,69.3,Average
STD1118,61.4,63.7,1.0,76.5,53.3,7,7,Yes,55.4,Average
STD1119,90.3,59.5,4.1,63.6,66.4,7,9,No,70.4,Average
STD1120,85.4,65.4,3.0,66.1,66.8,6,6,Yes,58.7,Average
STD1121,85.9,68.8,4.8,76.4,77.2,8,10,No,69.6,Average
STD1122,64.6,75.4,9.9,79.3,85.1,8,9,No,76.6,High
STD1123,93.5,67.0,5.2,57.8,67.0,5,9,Yes,70.2,Average
STD1124,58.5,74.8,3.9,51.1,71.6,5,6,Yes,70.7,Average
STD1125,83.3,68.9,6.2,63.6,70.6,8,10,Yes,63.8,Average
STD1126,100.0,40.3,5.4,61.6,48.4,5,10,Yes,56.4,Average
STD1127,63.6,54.8,5.3,58.7,55.1,7,8,Yes,49.9,Low
STD1128,68.9,66.0,5.6,70.6,68.0,9,8,No,66.6,Average
STD1129,77.2,51.1,8.2,47.7,53.0,4,8,Yes,59.2,Average
STD1130,69.7,76.4,2.5,51.2,59.5,4,6,Yes,68.5,Average
STD1131,56.6,89.4,5.4,78.5,85.8,8,10,Yes,79.9,High
STD1132,76.9,85.1,2.8,69.1,56.0,6,8,Yes,73.6,Average
STD1133,62.7,65.0,5.5,45.2,69.9,6,10,Yes,65.4,Average
STD1134,81.9,88.9,2.8,79.9,80.0,8,9,No,75.4,High
STD1135,64.5,70.1,3.7,69.6,61.2,6,7,No,56.6,Average
STD1136,95.4,63.3,4.0,67.6,63.9,6,10,Yes,69.7,Average
STD1137,66.2,59.4,6.3,54.8,61.7,7,8,No,53.3,Average
STD1138,72.0,63.8,6.2,61.0,72.2,6,6,No,69.7,Average
STD1139,86.2,62.6,2.3,62.8,61.1,6,8,No,60.7,Average
STD1140,60.6,70.4,4.6,52.6,54.3,6,8,No,63.2,Average
STD1141,78.8,70.2,3.2,62.4,64.9,6,7,No,61.8,Average
STD1142,92.3,68.0,2.2,74.2,59.0,7,9,Yes,69.6,Average
STD1143,55.9,74.1,4.1,65.8,66.6,7,7,Yes,67.1,Average
STD1144,78.3,84.7,3.9,76.8,68.8,8,7,Yes,74.9,Average
STD1145,79.2,81.3,8.9,66.4,91.7,7,9,No,77.0,High
STD1146,85.8,47.2,5.3,55.6,59.6,5,8,Yes,61.2,Average
STD1147,60.5,32.2,2.0,25.4,27.6,3,5,No,28.6,Low
STD1148,59.5,81.1,3.5,69.6,60.8,7,5,Yes,61.9,Average
STD1149,82.5,48.9,6.3,67.7,56.9,5,8,No,64.5,Average
STD1150,79.7,64.9,8.3,53.9,71.6,6,10,Yes,72.2,Average
STD1151,79.1,51.6,1.6,53.2,47.8,7,6,Yes,54.7,Average
STD1152,80.3,42.8,1.1,55.5,48.7,5,7,Yes,58.8,Average
STD1153,67.5,75.6,7.9,76.9,82.8,7,8,Yes,75.8,High
STD1154,78.9,78.6,5.2,69.0,77.4,6,10,Yes,80.4,High
STD1155,79.7,59.9,2.9,57.1,56.4,6,9,No,59.0,Average
STD1156,67.1,31.7,5.5,28.5,32.3,3,8,Yes,36.2,Low
STD1157,99.3,60.4,1.0,68.8,51.2,7,9,Yes,71.4,Average
STD1158,81.9,73.5,4.5,85.7,77.1,8,8,No,78.3,High
STD1159,61.1,47.3,5.1,52.2,52.0,5,5,Yes,52.3,Average
STD1160,84.2,70.6,6.2,69.2,72.9,5,10,No,73.2,Average
STD1161,63.8,67.8,2.7,64.6,57.3,7,5,No,57.4,Average
STD1162,85.8,76.1,4.7,72.8,63.6,8,10,Yes,76.4,High
STD1163,90.5,69.7,2.8,64.6,59.8,5,10,Yes,56.9,Average
STD1164,65.7,54.4,5.0,61.5,59.2,5,6,Yes,54.7,Average
STD1165,88.0,84.8,2.9,80.0,67.4,10,10,No,79.1,High
STD1166,81.2,65.8,3.8,66.0,59.7,6,9,Yes,64.6,Average
STD1167,86.3,67.6,2.7,61.0,52.9,7,10,No,62.6,Average
STD1168,99.7,54.9,5.7,74.9,68.8,7,10,No,62.7,Average
STD1169,72.9,61.8,6.0,66.4,62.9,6,7,Yes,73.0,Average
STD1170,66.6,55.6,4.1,52.1,62.7,6,6,No,60.9,Average
STD1171,64.9,65.6,4.6,68.7,72.7,6,7,No,63.6,Average
STD1172,65.8,92.0,1.9,72.3,70.5,7,6,No,68.7,Average
STD1173,75.0,48.8,4.0,49.0,43.6,5,7,No,54.2,Average
STD1174,80.3,45.4,4.4,48.8,36.5,4,6,No,55.9,Average
STD1175,79.5,88.6,9.2,64.7,76.5,7,10,Yes,83.9,High
STD1176,86.3,65.1,2.5,70.5,50.4,7,10,Yes,73.6,Average
STD1177,76.2,58.6,7.1,46.8,70.1,5,9,Yes,60.0,Average
STD1178,94.2,82.6,6.3,69.6,77.0,6,10,Yes,75.4,High
STD1179,72.7,59.5,5.0,44.5,59.0,6,8,No,51.8,Average
STD1180,100.0,93.6,7.7,85.8,75.0,9,10,Yes,89.2,High
STD1181,83.8,77.5,5.2,72.0,64.4,8,10,No,71.7,Average
STD1182,65.3,61.2,5.2,56.5,65.7,5,8,Yes,61.5,Average
STD1183,62.6,98.2,4.4,70.7,81.5,5,6,Yes,80.9,High
STD1184,82.0,59.5,6.7,53.9,61.7,7,8,No,67.1,Average
STD1185,73.2,78.4,6.5,74.1,78.9,7,8,No,67.2,Average
STD1186,84.9,72.2,3.4,66.4,73.3,6,9,Yes,68.5,Average
STD1187,81.9,86.2,2.1,79.7,68.8,8,7,Yes,78.8,High
STD1188,75.1,89.9,4.1,70.8,75.4,8,8,Yes,75.0,High
STD1189,65.4,68.4,3.1,64.3,61.6,6,7,Yes,60.0,Average
STD1190,57.1,57.5,4.4,64.4,72.5,8,7,Yes,67.7,Average
STD1191,70.4,74.4,6.7,72.1,61.2,8,10,Yes,65.6,Average
STD1192,86.7,58.5,3.7,60.4,60.3,5,9,No,59.2,Average
STD1193,78.7,96.2,4.4,83.9,80.8,8,6,No,81.5,High
STD1194,60.4,69.9,4.6,60.6,67.5,7,6,No,60.1,Average
STD1195,78.2,62.9,6.0,63.5,60.7,4,9,No,65.7,Average
STD1196,80.8,70.6,1.0,66.0,56.6,6,5,No,58.4,Average
STD1197,65.0,49.1,3.4,51.0,53.2,4,8,No,56.6,Average
STD1198,77.9,54.4,4.9,60.3,75.7,6,8,Yes,64.8,Average
STD1199,76.7,84.8,6.7,67.7,82.8,6,9,No,78.4,High
STD1200,61.7,58.8,3.6,49.0,48.8,5,8,Yes,57.6,Average
STD1201,80.5,53.3,1.1,48.5,42.5,4,6,Yes,48.8,Low
